Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Training effect aeroob,Gem. loopcadans,Max. loopcadans,Gemiddeld tempo,Beste tempo,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. balans grondcontacttijd,Gem. GAP,Gem. loopcadans,Max. loopcadans,Normalized Power® (NP®),Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Gem. vermogen,Max. vermogen,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Stappen,Totaal herhalingen,Totaal sets,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Stresswijziging,Stress vooraf,Stress achteraf,Gemiddelde stress,Max stress,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Hardlopen,2025-05-19 09:50:28,false,"Amsterdam Hardlopen","5.48","281","00:28:01","151","169","3.2","181","202","5:07","3:34","14","8","1.07","8.1","8.6","228","--","5:06","--","--","225","0.0","--","222","398","--","--","--","5,074","--","--","--","Nee","00:02:17.6","6","--","--","--","--","--","--","--","--","--","00:27:52","00:34:55","1","10"
Hardlopen,2025-05-18 20:03:44,false,"Amsterdam Hardlopen","5.25","280","00:30:28","141","151","3.0","178","239","5:48","5:00","17","11","0.97","8.7","8.4","241","--","5:45","--","--","203","0.0","--","200","292","--","--","--","5,422","--","--","--","Nee","00:01:29.1","6","--","--","--","--","--","--","--","--","--","00:30:24","00:30:28","-2","7"
Wegwielrennen,2025-05-18 09:22:31,false,"Renkum Wegwielrennen","120.19","1,812","04:16:05","151","181","5.0","--","--","28.2","50.4","853","848","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","13.0","Nee","00:00:34.3","25","29.0","37","16","49","--","--","--","--","--","04:15:16","05:04:08","4","108"
Hardlopen,2025-05-16 10:52:12,false,"Amsterdam Hardlopen","8.83","457","00:47:10","145","167","3.8","181","193","5:21","3:33","19","23","1.02","8.2","8.3","230","--","5:19","--","--","215","0.0","--","213","359","--","--","--","8,208","--","--","--","Nee","00:04:42.7","9","--","--","--","--","--","--","--","--","--","00:46:55","00:56:41","-2","10"
Wegwielrennen,2025-05-15 18:46:39,false,"Diemen Wegwielrennen","64.34","944","02:21:15","149","180","5.0","--","--","27.3","39.0","161","165","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","12.0","Nee","00:08:47.1","13","18.0","36","23","44","--","--","--","--","--","02:20:50","02:27:12","-5","11"
Hardlopen,2025-05-15 12:36:00,false,"Amsterdam Hardlopen","3.41","183","00:19:42","140","159","2.7","172","187","5:47","4:21","11","10","0.99","9.1","9.0","249","--","5:47","--","--","204","0.0","--","200","304","--","--","--","3,238","--","--","--","Nee","00:02:10.8","4","--","--","--","--","--","--","--","--","--","00:19:41","00:19:42","-3","5"
Hardlopen,2025-05-14 19:29:01,false,"Amsterdam Hardlopen","5.93","266","00:26:08","156","164","3.4","188","198","4:24","3:25","4","4","1.20","7.2","8.6","208","--","4:23","--","--","264","0.0","--","258","358","--","--","--","4,882","--","--","--","Nee","00:00:09.9","8","--","--","--","--","--","--","--","--","--","00:26:05","00:26:08","-1","3"
Hardlopen,2025-05-14 19:06:43,false,"Amsterdam Hardlopen","0.83","45","00:05:12.8","131","142","1.5","159","197","6:17","3:31","--","--","1.02","8.0","8.1","226","--","5:53","--","--","205","0.0","--","180","309","--","--","--","942","--","--","--","Nee","00:05:12.8","1","--","--","--","--","--","--","--","--","--","00:04:27","00:05:12.8","-3","-1"
Zwembad,2025-05-12 21:04:04,false,"Zwembad","1,725","443","00:57:43","133","170","3.1","--","--","2:07","1:27","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","988","46","27","--","--","--","--","Nee","00:00:04.2","47","--","--","--","--","--","--","--","--","--","00:36:24","01:11:28","--","--"
Zwembad,2025-05-09 16:10:20,false,"Zwembad","1,650","359","00:46:05","133","159","3.0","--","--","2:08","0:32","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","889","46","25","--","--","--","--","Nee","00:00:02.0","37","--","--","--","--","--","--","--","--","--","00:35:16","00:47:15","--","--"
Wegwielrennen,2025-05-08 18:35:19,false,"Amsterdam Wegwielrennen","58.45","873","02:05:11","143","171","4.0","--","--","28.0","40.1","103","105","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","15.0","Nee","00:06:55.4","12","18.0","34","18","42","--","--","--","--","--","02:04:56","02:21:40","-3","11"
Wegwielrennen,2025-05-08 18:05:50,false,"Amsterdam Wegwielrennen","3.74","74","00:08:32.4","150","167","2.2","--","--","26.3","33.7","8","8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","19.0","Nee","00:08:32.4","1","22.0","34","25","40","--","--","--","--","--","00:08:30","00:09:04.0","-3","3"
Hardlopen,2025-05-07 18:27:29,false,"Amsterdam - My first fast session","7.41","380","00:38:15","155","174","3.8","174","250","5:10","3:23","9","8","1.07","7.6","7.8","216","--","5:08","--","--","231","0.0","--","205","332","--","--","--","6,854","--","--","--","Nee","00:00:01.2","23","--","--","--","--","--","--","--","--","--","00:38:08","00:39:06","-2","2"
Yoga,2025-05-06 18:44:15,false,"Yoga","--","34","00:16:07","79","100","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","--","Nee","00:16:07","1","--","14","7","20","-49","89","40","56","93","00:16:07","00:16:07","--","--"
Krachttraining,2025-05-06 18:06:54,false,"Strength","0.00","103","00:22:21","101","139","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","328","164","15","--","Nee","00:22:21","1","--","--","--","--","--","--","--","--","--","00:11:59","00:22:21","--","--"
Hardlopen,2025-05-04 13:01:40,false,"Breda Running","26.83","1,357","02:14:08","158","170","5.0","183","205","5:00","3:53","34","25","1.09","8.0","8.6","226","--","5:00","--","--","229","0.0","--","226","293","--","--","--","22,100","--","--","--","Nee","00:03:47.0","27","--","--","--","--","--","--","--","--","--","02:13:56","02:14:24","2","14"
Zwembad,2025-05-03 17:37:01,false,"Pool Swim","4,000","2,698","01:50:20","135","171","3.7","--","--","2:00","0:58","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","2104","43","26","--","--","--","--","Nee","00:00:01.7","103","--","--","--","--","--","--","--","--","--","01:20:21","01:57:10","--","--"
Wegwielrennen,2025-05-03 08:45:10,false,"Amsterdam Road Cycling","34.85","602","01:14:56","150","174","4.2","--","--","27.9","41.9","58","60","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","15.0","Nee","00:09:41.2","7","23.0","38","24","46","--","--","--","--","--","01:14:50","01:24:04","-4","8"
Wegwielrennen,2025-05-01 18:23:53,false,"Amsterdam Road Cycling","60.10","918","02:10:34","150","174","4.8","--","--","27.6","39.2","104","104","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","21.0","Nee","00:00:10.9","13","32.0","37","23","43","--","--","--","--","--","02:10:26","02:10:43","-3","11"
Hardlopen,2025-04-30 17:52:54,false,"Amsterdam Running","4.40","234","00:29:09","129","147","2.4","172","214","6:38","4:25","14","6","0.87","9.6","8.4","258","--","6:39","--","--","177","0.0","--","176","267","--","--","--","5,000","--","--","--","Nee","00:02:28.2","5","--","--","--","--","--","--","--","--","--","00:29:08","00:33:03","-3","7"
Hardlopen,2025-04-29 18:26:37,false,"Amsterdam Running","1.72","91","00:08:46.0","161","169","2.4","179","200","5:06","4:31","1","1","1.08","8.1","8.8","230","--","5:08","--","--","234","0.0","--","231","285","--","--","--","1,542","--","--","--","Nee","00:03:48.2","2","--","--","--","--","--","--","--","--","--","00:08:44.8","00:08:46.0","2","4"
Hardlopen,2025-04-29 18:17:51,false,"Amsterdam Running","1.83","77","00:07:10.7","164","172","2.4","188","205","3:56","3:26","2","--","1.32","6.7","8.9","197","--","3:57","--","--","273","0.0","--","269","317","--","--","--","1,354","--","--","--","Nee","00:03:18.5","2","--","--","--","--","--","--","--","--","--","00:07:10.2","00:07:10.7","6","9"
HIIT,2025-04-29 17:22:53,false,"HIIT","0.00","270","00:37:16","131","167","2.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","724","362","36","--","Nee","00:37:16","1","--","--","--","--","--","--","--","--","--","00:20:59","00:37:16","--","--"
Zwembad,2025-04-28 21:03:12,false,"Pool Swim","1,625","369","00:57:30","119","160","2.6","--","--","2:05","1:04","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","834","44","25","--","--","--","--","Nee","00:00:00","61","--","--","--","--","--","--","--","--","--","00:33:46","01:03:49","--","--"
Wegwielrennen,2025-04-27 09:39:29,false,"Amsterdam Road Cycling","104.44","1,317","03:56:10","137","171","3.8","--","--","26.5","39.8","253","245","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","18.0","Nee","00:09:31.8","21","30.0","31","18","41","--","--","--","--","--","03:55:22","05:21:36","-3","20"
Hardlopen,2025-04-26 08:52:51,false,"Amsterdam Running","10.02","523","00:53:44","152","166","4.0","178","207","5:22","3:28","22","19","1.04","8.5","8.9","237","--","5:22","--","--","218","0.0","--","214","323","--","--","--","9,538","--","--","--","Nee","00:00:05.7","11","--","--","--","--","--","--","--","--","--","00:53:41","00:53:44","-1","7"
Wegwielrennen,2025-04-25 16:50:36,false,"Amsterdam Road Cycling","52.43","949","01:57:27","149","169","4.4","--","--","26.8","36.5","121","121","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","14.0","Nee","00:05:20.2","11","20.0","36","26","44","--","--","--","--","--","01:57:14","02:02:39","-5","11"
Hardlopen,2025-04-23 18:37:49,false,"Amsterdam Running","8.02","419","00:44:03","146","169","3.7","174","207","5:30","3:13","18","16","1.03","8.8","9.0","242","--","5:31","--","--","213","0.0","--","209","344","--","--","--","7,716","--","--","--","Nee","00:00:10.2","9","--","--","--","--","--","--","--","--","--","00:43:59","00:44:20","-2","7"
HIIT,2025-04-22 18:18:42,false,"HIIT","0.00","243","00:37:07","123","161","2.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","712","356","36","--","Nee","00:37:07","1","--","--","--","--","--","--","--","--","--","00:25:53","00:37:07","--","--"
Zwembad,2025-04-22 15:41:37,false,"ATAC Tuesday Swim","2,000","276","00:51:39","108","139","2.0","--","--","2:15","1:41","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","1083","47","24","--","--","--","--","Nee","00:00:00.8","35","--","--","--","--","--","--","--","--","--","00:45:05","00:57:04","--","--"
Hardlopen,2025-04-21 15:35:59,false,"Amsterdam Running","5.07","266","00:28:26","145","155","3.2","169","184","5:37","4:05","15","8","1.04","9.0","9.4","249","--","5:38","--","--","208","0.0","--","207","310","--","--","--","4,818","--","--","--","Nee","00:00:24.7","6","--","--","--","--","--","--","--","--","--","00:28:20","00:32:53","-2","6"
Wegwielrennen,2025-04-19 09:05:59,false,"Valkenburg aan de Geul Road Cycling","143.30","2,218","05:52:14","148","175","5.0","--","--","24.4","58.4","2,031","1,962","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","12.0","Nee","00:08:30.8","29","25.0","35","19","44","--","--","--","--","--","05:51:44","07:14:43","56","326"
Zwembad,2025-04-17 17:04:32,false,"ATAC Friday Swim","2,000","257","00:46:26","118","152","2.2","--","--","2:11","1:46","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","1083","46","25","--","--","--","--","Nee","00:00:06.5","17","--","--","--","--","--","--","--","--","--","00:43:45","00:48:46","--","--"
Hardlopen,2025-04-16 16:43:39,false,"Amsterdam Running","2.62","137","00:15:06","143","156","2.5","170","244","5:46","3:29","3","1","1.02","9.1","9.3","250","--","5:43","--","--","207","0.0","--","203","356","--","--","--","2,584","--","--","--","Nee","00:03:27.3","3","--","--","--","--","--","--","--","--","--","00:15:01","00:15:06","-0","4"
